"Country Name","Film Category","Number OF Rentals"
"South Africa","New",15
"Taiwan","Comedy",15
"United Kingdom","Children",15
"United Kingdom","Comedy",15
"United Kingdom","Travel",15
"Yemen","Action",15
"Canada","Family",14
"Canada","Sci-Fi",14
"Colombia","Action",14
"Egypt","Animation",14
"Egypt","Drama",14
"Germany","Classics",14
"Iran","Animation",14
"Iran","Sports",14
"Italy","Classics",14
"Poland","Sci-Fi",14
"South Korea","Sports",14
"Taiwan","Music",14
"Turkey","Games",14
"United Kingdom","Foreign",14
"Vietnam","Comedy",14
"Argentina","Children",13
"Argentina","Horror",13
"Germany","Drama",13
"Germany","Sports",13
"Iran","Games",13
"Italy","Animation",13
"Italy","Games",13
"Italy","Sports",13
"Netherlands","Animation",13
"Netherlands","Sports",13
"Peru","Sports",13
"Poland","Animation",13
"South Africa","Comedy",13
"South Korea","Family",13
"Taiwan","Horror",13
"Ukraine","Classics",13
"Ukraine","Family",13
"Ukraine","Music",13
"Venezuela","Horror",13
"Vietnam","Classics",13
"Vietnam","Family",13
"Algeria","Sci-Fi",12
"Colombia","Sports",12
"Dominican Republic","Foreign",12
"Egypt","Family",12
"Egypt","Horror",12
"Germany","Family",12
"Germany","Foreign",12
"Germany","Games",12
"Iran","Horror",12
"Italy","Music",12
"Mozambique","Documentary",12
"Pakistan","Sports",12
"Poland","Horror",12
"Saudi Arabia","Action",12
"Saudi Arabia","Sci-Fi",12
"South Africa","Drama",12
"South Africa","Family",12
"South Korea","Classics",12
"South Korea","Music",12
"Taiwan","Sports",12
"Venezuela","Animation",12
"Venezuela","Family",12
"Venezuela","Foreign",12
"Vietnam","Action",12
"Vietnam","Foreign",12
"Vietnam","Music",12
"Yemen","Sports",12
"Canada","Drama",11
"Colombia","Documentary",11
"Colombia","Drama",11
"Colombia","Horror",11
"Colombia","Travel",11
"Egypt","Action",11
"France","Action",11
"Germany","Children",11
"Germany","Comedy",11
"Germany","Documentary",11
"Germany","Travel",11
"Iran","Drama",11
"Iran","Music",11
"Netherlands","Games",11
"Pakistan","Action",11
"Poland","Documentary",11
"Poland","Drama",11
"South Africa","Children",11
"South Africa","Travel",11
"South Korea","Animation",11
"South Korea","Foreign",11
"Spain","Classics",11
"Spain","Comedy",11
"Spain","Documentary",11
"Taiwan","Travel",11
"Ukraine","Documentary",11
"Ukraine","Sci-Fi",11
"Venezuela","Drama",11
"Venezuela","Games",11
"Venezuela","Sports",11
"Venezuela","Travel",11
"Vietnam","Horror",11
"Yemen","Children",11
"Yemen","New",11
"Algeria","New",10
"Colombia","Comedy",10
"Colombia","Music",10
"Congo, The Democratic Republic of the","Travel",10
"Ecuador","Animation",10
"Ecuador","Sports",10
"France","Drama",10
"France","Sports",10
"Germany","Music",10
"Germany","New",10
"Germany","Sci-Fi",10
"Iran","New",10
"Israel","Sci-Fi",10
"Italy","Action",10
"Italy","Comedy",10
"Italy","Foreign",10
"Italy","New",10
"Mozambique","Foreign",10
"Mozambique","New",10
"Netherlands","New",10
"Netherlands","Travel",10
"Pakistan","Documentary",10
"Pakistan","Drama",10
"Pakistan","Foreign",10
"Peru","Sci-Fi",10
"Peru","Travel",10
"Poland","Children",10
"Poland","Family",10
"Poland","Travel",10
"Saudi Arabia","New",10
"Saudi Arabia","Sports",10
"Spain","Drama",10
"Spain","Foreign",10
"Thailand","Sci-Fi",10
"United Arab Emirates","Drama",10
"United Kingdom","Animation",10
"United Kingdom","New",10
"Venezuela","Comedy",10
"Vietnam","Games",10
"Vietnam","Travel",10
"Austria","Family",9
"Canada","Games",9
"Canada","Music",9
"Iran","Travel",9
"Israel","Classics",9
"Israel","Foreign",9
"Italy","Horror",9
"Italy","Sci-Fi",9
"Malaysia","Sci-Fi",9
"Morocco","Foreign",9
"Netherlands","Action",9
"Netherlands","Comedy",9
"Netherlands","Drama",9
"Pakistan","Children",9
"Pakistan","Classics",9
"Pakistan","Travel",9
"Peru","Classics",9
"Peru","Foreign",9
"Peru","Horror",9
"Saudi Arabia","Documentary",9
"Saudi Arabia","Horror",9
"Saudi Arabia","Music",9
"South Korea","Children",9
"Spain","Sports",9
"Tanzania","Music",9
"Thailand","Animation",9
"Thailand","Music",9
"Ukraine","Children",9
"Ukraine","New",9
"Ukraine","Sports",9
"United Kingdom","Classics",9
"Venezuela","Music",9
"Venezuela","New",9
"Vietnam","Animation",9
"Yemen","Drama",9
"Yemen","Sci-Fi",9
"Yemen","Travel",9
"Algeria","Comedy",8
"Austria","Action",8
"Austria","Classics",8
"Austria","Travel",8
"Bangladesh","Foreign",8
"Bangladesh","Games",8
"Bangladesh","Horror",8
"Bangladesh","Sports",8
"Belarus","Action",8
"Cameroon","Foreign",8
"Canada","Action",8
"Canada","Children",8
"Canada","Comedy",8
"Canada","Foreign",8
"Chile","Action",8
"Chile","Classics",8
"Dominican Republic","New",8
"Ecuador","Family",8
"Egypt","Comedy",8
"Egypt","Foreign",8
"Egypt","Music",8
"Egypt","Travel",8
"France","Foreign",8
"Israel","Action",8
"Israel","Sports",8
"Italy","Documentary",8
"Italy","Travel",8
"Latvia","Sci-Fi",8
"Malaysia","Children",8
"Malaysia","Documentary",8
"Malaysia","Sports",8
"Netherlands","Documentary",8
"Netherlands","Horror",8
"Netherlands","Sci-Fi",8
"Pakistan","Sci-Fi",8
"Paraguay","Horror",8
"Paraguay","Sci-Fi",8
"Peru","Family",8
"Peru","New",8
"Saudi Arabia","Family",8
"South Korea","Horror",8
"South Korea","New",8
"Spain","Action",8
"Spain","Animation",8
"Spain","Children",8
"Spain","Travel",8
"Sudan","Drama",8
"Tanzania","Action",8
"Tanzania","Games",8
"Ukraine","Games",8
"United Arab Emirates","New",8
"United Arab Emirates","Sci-Fi",8
"Venezuela","Sci-Fi",8
"Vietnam","Sports",8
"Yemen","Games",8
"Algeria","Animation",7
"Algeria","Children",7
"Angola","Animation",7
"Angola","Comedy",7
"Austria","Animation",7
"Azerbaijan","Foreign",7
"Azerbaijan","Horror",7
"Bangladesh","Classics",7
"Bangladesh","Documentary",7
"Bangladesh","Music",7
"Bangladesh","Sci-Fi",7
"Bulgaria","Foreign",7
"Bulgaria","Sports",7
"Canada","Travel",7
"Chile","Foreign",7
"Chile","Games",7
"Colombia","Games",7
"Colombia","New",7
"Colombia","Sci-Fi",7
"Dominican Republic","Documentary",7
"Egypt","Classics",7
"Egypt","Documentary",7
"Egypt","Games",7
"Egypt","New",7
"France","Comedy",7
"France","New",7
"France","Sci-Fi",7
"Germany","Horror",7
"Greece","Sports",7
"Israel","Animation",7
"Israel","Comedy",7
"Israel","Documentary",7
"Israel","Family",7
"Kazakstan","Documentary",7
"Kazakstan","Drama",7
"Kenya","Action",7
"Latvia","Games",7
"Latvia","Sports",7
"Malaysia","Action",7
"Malaysia","Comedy",7
"Malaysia","Foreign",7
"Malaysia","Travel",7
"Moldova","Children",7
"Morocco","Animation",7
"Mozambique","Games",7
"Myanmar","Comedy",7
"Netherlands","Children",7
"Pakistan","Family",7
"Pakistan","New",7
"Paraguay","Animation",7
"Peru","Games",7
"Puerto Rico","Games",7
"Puerto Rico","New",7
"Romania","Sci-Fi",7
"Runion","Sci-Fi",7
"South Korea","Sci-Fi",7
"Spain","Family",7
"Spain","Horror",7
"Spain","New",7
"Sudan","Music",7
"Switzerland","Classics",7
"Tanzania","Family",7
"Tanzania","Travel",7
"Thailand","Action",7
"Thailand","Drama",7
"Thailand","Horror",7
"Ukraine","Foreign",7
"Ukraine","Travel",7
"United Arab Emirates","Action",7
"United Arab Emirates","Family",7
"Vietnam","Children",7
"Virgin Islands, U.S.","Animation",7
"Yemen","Family",7
"Yugoslavia","Animation",7
"Algeria","Drama",6
"Algeria","Family",6
"Algeria","Sports",6
"Austria","Documentary",6
"Austria","Drama",6
"Bangladesh","Travel",6
"Belarus","Classics",6
"Belarus","New",6
"Cambodia","Documentary",6
"Canada","Documentary",6
"Canada","New",6
"Colombia","Children",6
"Colombia","Foreign",6
"Dominican Republic","Comedy",6
"Dominican Republic","Family",6
"Dominican Republic","Sports",6
"Ecuador","Action",6
"Ecuador","Comedy",6
"Ecuador","Sci-Fi",6
"Egypt","Children",6
"France","Animation",6
"France","Family",6
"French Polynesia","Classics",6
"French Polynesia","Travel",6
"Gambia","Comedy",6
"Greece","Action",6
"Iraq","Sports",6
"Israel","New",6
"Kenya","Games",6
"Kenya","Travel",6
"Morocco","Children",6
"Morocco","Family",6
"Morocco","Games",6
"Mozambique","Family",6
"Myanmar","Drama",6
"Netherlands","Family",6
"North Korea","Documentary",6
"Pakistan","Comedy",6
"Pakistan","Horror",6
"Peru","Children",6
"Poland","Classics",6
"Puerto Rico","Foreign",6
"Romania","Sports",6
"Runion","Family",6
"Saudi Arabia","Games",6
"South Korea","Documentary",6
"South Korea","Travel",6
"Spain","Sci-Fi",6
"Sri Lanka","Children",6
"Sudan","Foreign",6
"Switzerland","Family",6
"Tanzania","Animation",6
"Tanzania","Drama",6
"Thailand","Family",6
"Ukraine","Drama",6
"United Arab Emirates","Games",6
"United Arab Emirates","Sports",6
"United Arab Emirates","Travel",6
"Venezuela","Children",6
"Yugoslavia","Sports",6
"Algeria","Action",5
"American Samoa","Sports",5
"Angola","Children",5
"Angola","Horror",5
"Anguilla","Travel",5
"Armenia","Animation",5
"Austria","Comedy",5
"Austria","New",5
"Azerbaijan","Games",5
"Bahrain","Sports",5
"Bangladesh","Animation",5
"Bangladesh","Comedy",5
"Bangladesh","Drama",5
"Bangladesh","New",5
"Belarus","Animation",5
"Belarus","Drama",5
"Belarus","Games",5
"Belarus","Sports",5
"Belarus","Travel",5
"Bolivia","Children",5
"Bolivia","Family",5
"Bolivia","New",5
"Brunei","Sports",5
"Cambodia","Animation",5
"Cambodia","Foreign",5
"Cambodia","Sports",5
"Cameroon","Action",5
"Cameroon","Documentary",5
"Cameroon","Family",5
"Canada","Horror",5
"Canada","Sports",5
"Chile","Comedy",5
"Colombia","Classics",5
"Congo, The Democratic Republic of the","Comedy",5
"Congo, The Democratic Republic of the","Games",5
"Congo, The Democratic Republic of the","Horror",5
"Dominican Republic","Drama",5
"Ecuador","Documentary",5
"Ecuador","Drama",5
"Ecuador","Games",5
"Ecuador","New",5
"Estonia","Family",5
"Estonia","Sports",5
"France","Children",5
"France","Classics",5
"France","Horror",5
"French Polynesia","Action",5
"French Polynesia","New",5
"Greece","Music",5
"Holy See (Vatican City State)","Documentary",5
"Israel","Drama",5
"Kazakstan","Animation",5
"Kazakstan","Horror",5
"Kenya","Comedy",5
"Latvia","Action",5
"Latvia","Animation",5
"Latvia","Classics",5
"Malaysia","Family",5
"Malaysia","Games",5
"Moldova","Classics",5
"Morocco","Action",5
"Morocco","Comedy",5
"Morocco","Documentary",5
"Morocco","Horror",5
"Mozambique","Action",5
"Mozambique","Children",5
"Mozambique","Music",5
"Nauru","Comedy",5
"Nauru","Horror",5
"Netherlands","Music",5
"North Korea","Music",5
"Oman","Foreign",5
"Oman","New",5
"Oman","Travel",5
"Pakistan","Games",5
"Pakistan","Music",5
"Paraguay","Comedy",5
"Paraguay","Music",5
"Peru","Comedy",5
"Poland","Games",5
"Puerto Rico","Action",5
"Puerto Rico","Animation",5
"Romania","Action",5
"Romania","Children",5
"Romania","Classics",5
"Romania","Horror",5
"Romania","Music",5
"Runion","Travel",5
"Saudi Arabia","Children",5
"Saudi Arabia","Comedy",5
"Senegal","Sci-Fi",5
"South Korea","Drama",5
"South Korea","Games",5
"Sudan","Sci-Fi",5
"Switzerland","Animation",5
"Switzerland","Comedy",5
"Switzerland","Documentary",5
"Switzerland","Drama",5
"Tanzania","Classics",5
"Tanzania","Horror",5
"Tanzania","New",5
"Thailand","Children",5
"Thailand","Comedy",5
"Thailand","Documentary",5
"Thailand","Games",5
"Thailand","Sports",5
"Thailand","Travel",5
"United Arab Emirates","Children",5
"United Arab Emirates","Foreign",5
"United Arab Emirates","Music",5
"United Kingdom","Horror",5
"Vietnam","Sci-Fi",5
"Yemen","Animation",5
"Yemen","Foreign",5
"Yugoslavia","Horror",5
"Yugoslavia","New",5
"Algeria","Foreign",4
"Algeria","Games",4
"Algeria","Music",4
"Angola","Classics",4
"Angola","Music",4
"Angola","New",4
"Anguilla","Animation",4
"Anguilla","Sci-Fi",4
"Austria","Sports",4
"Azerbaijan","Action",4
"Azerbaijan","Animation",4
"Azerbaijan","Comedy",4
"Azerbaijan","New",4
"Azerbaijan","Sci-Fi",4
"Bahrain","Action",4
"Bahrain","Family",4
"Bahrain","Sci-Fi",4
"Bangladesh","Action",4
"Belarus","Family",4
"Bolivia","Animation",4
"Bolivia","Comedy",4
"Bolivia","Documentary",4
"Bolivia","Sports",4
"Brunei","Comedy",4
"Brunei","Drama",4
"Bulgaria","Documentary",4
"Bulgaria","New",4
"Bulgaria","Sci-Fi",4
"Cambodia","Action",4
"Cambodia","Sci-Fi",4
"Cambodia","Travel",4
"Cameroon","Animation",4
"Cameroon","Children",4
"Cameroon","Games",4
"Cameroon","Horror",4
"Canada","Classics",4
"Chad","Sci-Fi",4
"Chad","Sports",4
"Chile","Children",4
"Chile","Drama",4
"Chile","New",4
"Chile","Sci-Fi",4
"Chile","Sports",4
"Chile","Travel",4
"Congo, The Democratic Republic of the","Foreign",4
"Czech Republic","Children",4
"Czech Republic","New",4
"Dominican Republic","Games",4
"Dominican Republic","Horror",4
"Dominican Republic","Travel",4
"Ecuador","Children",4
"Ecuador","Foreign",4
"Ecuador","Music",4
"Ecuador","Travel",4
"Faroe Islands","Animation",4
"Faroe Islands","Family",4
"Faroe Islands","Sci-Fi",4
"Faroe Islands","Sports",4
"Finland","Action",4
"France","Music",4
"French Guiana","Animation",4
"French Polynesia","Comedy",4
"French Polynesia","Documentary",4
"French Polynesia","Foreign",4
"French Polynesia","Games",4
"French Polynesia","Sci-Fi",4
"Greece","Family",4
"Greece","Sci-Fi",4
"Greenland","Games",4
"Greenland","New",4
"Holy See (Vatican City State)","Drama",4
"Holy See (Vatican City State)","Foreign",4
"Hong Kong","Foreign",4
"Hong Kong","Sports",4
"Hungary","Family",4
"Hungary","Sci-Fi",4
"Israel","Children",4
"Israel","Horror",4
"Kazakstan","Children",4
"Kazakstan","Comedy",4
"Kazakstan","Music",4
"Kenya","Animation",4
"Kenya","Children",4
"Kenya","Family",4
"Kenya","Foreign",4
"Kenya","Music",4
"Kenya","Sports",4
"Kuwait","Classics",4
"Kuwait","Foreign",4
"Latvia","Comedy",4
"Latvia","Drama",4
"Liechtenstein","Action",4
"Liechtenstein","Foreign",4
"Madagascar","Horror",4
"Malawi","Classics",4
"Malawi","Music",4
"Malaysia","Horror",4
"Moldova","Family",4
"Moldova","Foreign",4
"Morocco","Sci-Fi",4
"Mozambique","Sci-Fi",4
"Mozambique","Travel",4
"Myanmar","Action",4
"Myanmar","Family",4
"Myanmar","Horror",4
"Myanmar","New",4
"Myanmar","Sports",4
"Myanmar","Travel",4
"Nauru","Drama",4
"Netherlands","Classics",4
"Netherlands","Foreign",4
"New Zealand","Classics",4
"New Zealand","Drama",4
"Oman","Classics",4
"Oman","Comedy",4
"Oman","Drama",4
"Oman","Sci-Fi",4
"Pakistan","Animation",4
"Paraguay","Classics",4
"Peru","Action",4
"Peru","Documentary",4
"Peru","Drama",4
"Puerto Rico","Drama",4
"Puerto Rico","Horror",4
"Puerto Rico","Music",4
"Puerto Rico","Sports",4
"Romania","Animation",4
"Romania","New",4
"Runion","Classics",4
"Runion","Foreign",4
"Runion","Horror",4
"Saint Vincent and the Grenadines","Horror",4
"Saudi Arabia","Foreign",4
"Senegal","Travel",4
"Slovakia","Drama",4
"Slovakia","Family",4
"South Korea","Action",4
"South Korea","Comedy",4
"Spain","Music",4
"Sri Lanka","Classics",4
"Sri Lanka","Family",4
"Sudan","Children",4
"Sweden","Classics",4
"Sweden","Games",4
"Switzerland","Foreign",4
"Switzerland","Games",4
"Switzerland","Sports",4
"Tanzania","Sports",4
"Thailand","Classics",4
"Thailand","Foreign",4
"Tonga","Sports",4
"Tunisia","Sci-Fi",4
"Turkmenistan","Family",4
"Turkmenistan","Games",4
"Tuvalu","Children",4
"Tuvalu","Music",4
"Ukraine","Comedy",4
"Ukraine","Horror",4
"United Arab Emirates","Classics",4
"United Kingdom","Music",4
"Vietnam","Documentary",4
"Yemen","Comedy",4
"Yugoslavia","Children",4
"Yugoslavia","Foreign",4
"Yugoslavia","Sci-Fi",4
"Zambia","Animation",4
"Zambia","Games",4
"Afghanistan","Comedy",3
"Algeria","Classics",3
"Algeria","Documentary",3
"Algeria","Travel",3
"American Samoa","Travel",3
"Angola","Action",3
"Angola","Foreign",3
"Angola","Sci-Fi",3
"Anguilla","Children",3
"Anguilla","Drama",3
"Anguilla","Family",3
"Anguilla","Games",3
"Anguilla","Music",3
"Armenia","Foreign",3
"Armenia","Games",3
"Armenia","Sci-Fi",3
"Austria","Children",3
"Austria","Sci-Fi",3
"Azerbaijan","Children",3
"Azerbaijan","Drama",3
"Azerbaijan","Family",3
"Azerbaijan","Music",3
"Azerbaijan","Sports",3
"Bangladesh","Family",3
"Belarus","Comedy",3
"Belarus","Horror",3
"Belarus","Sci-Fi",3
"Bolivia","Action",3
"Bolivia","Classics",3
"Bolivia","Music",3
"Bolivia","Sci-Fi",3
"Brunei","Children",3
"Brunei","Documentary",3
"Brunei","Travel",3
"Bulgaria","Animation",3
"Bulgaria","Children",3
"Bulgaria","Classics",3
"Bulgaria","Comedy",3
"Bulgaria","Drama",3
"Bulgaria","Music",3
"Cambodia","Children",3
"Cambodia","Classics",3
"Cambodia","Family",3
"Cambodia","Games",3
"Cameroon","Music",3
"Cameroon","New",3
"Cameroon","Sports",3
"Chad","Animation",3
"Chad","Drama",3
"Chad","Foreign",3
"Chad","Games",3
"Chile","Animation",3
"Chile","Family",3
"Chile","Music",3
"Congo, The Democratic Republic of the","Action",3
"Congo, The Democratic Republic of the","Classics",3
"Congo, The Democratic Republic of the","Drama",3
"Congo, The Democratic Republic of the","Family",3
"Czech Republic","Comedy",3
"Czech Republic","Sports",3
"Dominican Republic","Action",3
"Dominican Republic","Music",3
"Dominican Republic","Sci-Fi",3
"Ecuador","Horror",3
"Ethiopia","Animation",3
"Ethiopia","Family",3
"Faroe Islands","Drama",3
"Finland","Family",3
"Finland","Games",3
"Finland","Sports",3
"France","Travel",3
"French Guiana","Action",3
"French Guiana","Drama",3
"French Polynesia","Family",3
"French Polynesia","Sports",3
"Gambia","Action",3
"Gambia","Drama",3
"Greece","Animation",3
"Greece","Classics",3
"Greece","Comedy",3
"Greece","Drama",3
"Greece","Games",3
"Greece","Horror",3
"Greece","New",3
"Greece","Travel",3
"Greenland","Classics",3
"Greenland","Sports",3
"Holy See (Vatican City State)","Action",3
"Holy See (Vatican City State)","Games",3
"Holy See (Vatican City State)","Sports",3
"Hong Kong","Documentary",3
"Hong Kong","Family",3
"Hong Kong","Games",3
"Hungary","Children",3
"Hungary","Sports",3
"Hungary","Travel",3
"Iraq","Comedy",3
"Iraq","Games",3
"Israel","Games",3
"Israel","Travel",3
"Kazakstan","Action",3
"Kazakstan","Family",3
"Kazakstan","Sports",3
"Latvia","Children",3
"Latvia","New",3
"Latvia","Travel",3
"Liechtenstein","Classics",3
"Liechtenstein","Games",3
"Liechtenstein","Sci-Fi",3
"Lithuania","Children",3
"Madagascar","Family",3
"Madagascar","Sports",3
"Malawi","Sci-Fi",3
"Malawi","Sports",3
"Malaysia","Animation",3
"Malaysia","Drama",3
"Malaysia","Music",3
"Morocco","Classics",3
"Morocco","Music",3
"Morocco","Sports",3
"Mozambique","Horror",3
"Mozambique","Sports",3
"Myanmar","Sci-Fi",3
"Nauru","Games",3
"Nepal","Foreign",3
"Nepal","Sci-Fi",3
"New Zealand","Sports",3
"North Korea","Animation",3
"Oman","Documentary",3
"Oman","Family",3
"Oman","Games",3
"Oman","Horror",3
"Paraguay","Documentary",3
"Paraguay","Family",3
"Paraguay","Foreign",3
"Paraguay","Games",3
"Paraguay","New",3
"Paraguay","Sports",3
"Paraguay","Travel",3
"Peru","Animation",3
"Peru","Music",3
"Puerto Rico","Children",3
"Puerto Rico","Sci-Fi",3
"Puerto Rico","Travel",3
"Romania","Comedy",3
"Romania","Foreign",3
"Romania","Games",3
"Runion","Action",3
"Runion","Documentary",3
"Runion","Games",3
"Saint Vincent and the Grenadines","Children",3
"Saint Vincent and the Grenadines","Documentary",3
"Saudi Arabia","Classics",3
"Saudi Arabia","Travel",3
"Slovakia","Documentary",3
"Slovakia","New",3
"Slovakia","Travel",3
"Sri Lanka","Comedy",3
"Sri Lanka","Games",3
"Sri Lanka","Travel",3
"Sudan","Action",3
"Sudan","Comedy",3
"Sudan","Family",3
"Sudan","Games",3
"Sudan","Horror",3
"Sudan","Travel",3
"Sweden","Action",3
"Sweden","Documentary",3
"Sweden","Drama",3
"Sweden","Family",3
"Sweden","Foreign",3
"Switzerland","Action",3
"Switzerland","New",3
"Switzerland","Sci-Fi",3
"Switzerland","Travel",3
"Tanzania","Children",3
"Tanzania","Comedy",3
"Tanzania","Documentary",3
"Tanzania","Sci-Fi",3
"Thailand","New",3
"Tunisia","Comedy",3
"Tunisia","Foreign",3
"Turkmenistan","Documentary",3
"Tuvalu","Games",3
"Tuvalu","Sci-Fi",3
"Tuvalu","Sports",3
"United Arab Emirates","Documentary",3
"Venezuela","Classics",3
"Virgin Islands, U.S.","Classics",3
"Virgin Islands, U.S.","Comedy",3
"Virgin Islands, U.S.","Documentary",3
"Virgin Islands, U.S.","Drama",3
"Virgin Islands, U.S.","New",3
"Yemen","Classics",3
"Yemen","Documentary",3
"Yemen","Horror",3
"Yemen","Music",3
"Yugoslavia","Action",3
"Yugoslavia","Drama",3
"Yugoslavia","Family",3
"Yugoslavia","Games",3
"Yugoslavia","Travel",3
"Zambia","Comedy",3
"Zambia","Documentary",3
"Zambia","Drama",3
"Afghanistan","Classics",2
"Afghanistan","Documentary",2
"Afghanistan","Drama",2
