"Film Name","Film Length","Length Category"
"Dangerous Uptown",121,"Long"
"Dares Pluto",89,"Short"
"Darkness War",99,"Medium"
"Darko Dorado",130,"Long"
"Darling Breaking",165,"Long"
"Darn Forrester",185,"Long"
"Daughter Madigan",59,"Short"
"Dawn Pond",57,"Short"
"Day Unfaithful",113,"Medium"
"Dazed Punk",120,"Medium"
"Deceiver Betrayed",122,"Long"
"Deep Crusade",51,"Short"
"Deer Virginian",106,"Medium"
"Deliverance Mulholland",100,"Medium"
"Desert Poseidon",64,"Short"
"Desire Alien",76,"Short"
"Desperate Trainspotting",81,"Short"
"Destination Jerk",76,"Short"
"Destiny Saturday",56,"Short"
"Details Packer",88,"Short"
"Detective Vision",143,"Long"
"Devil Desire",87,"Short"
"Diary Panic",107,"Medium"
"Dinosaur Secretary",63,"Short"
"Dirty Ace",147,"Long"
"Disciple Mother",141,"Long"
"Disturbing Scarface",94,"Medium"
"Divide Monster",68,"Short"
"Divine Resurrection",100,"Medium"
"Divorce Shining",47,"Short"
"Doctor Grail",57,"Short"
"Dogma Family",122,"Long"
"Dolls Rage",120,"Medium"
"Donnie Alley",125,"Long"
"Doom Dancing",68,"Short"
"Doors President",49,"Short"
"Dorado Notting",139,"Long"
"Double Wrath",177,"Long"
"Doubtfire Labyrinth",154,"Long"
"Downhill Enough",47,"Short"
"Dozen Lion",177,"Long"
"Dracula Crystal",176,"Long"
"Dragon Squad",170,"Long"
"Dragonfly Strangers",133,"Long"
"Dream Pickup",135,"Long"
"Drifter Commandments",61,"Short"
"Driver Annie",159,"Long"
"Driving Polish",175,"Long"
"Drop Waterfront",178,"Long"
"Drumline Cyclone",110,"Medium"
"Drums Dynamite",96,"Medium"
"Duck Racer",116,"Medium"
"Dude Blindness",132,"Long"
"Duffel Apocalypse",171,"Long"
"Dumbo Lust",119,"Medium"
"Durham Panky",154,"Long"
"Dwarfs Alter",101,"Medium"
"Dynamite Tarzan",141,"Long"
"Eagles Panky",140,"Long"
"Early Home",96,"Medium"
"Earring Instinct",98,"Medium"
"Earth Vision",85,"Short"
"Easy Gladiator",148,"Long"
"Edge Kissing",153,"Long"
"Effect Gladiator",107,"Medium"
"Egg Igby",67,"Short"
"Egypt Tenenbaums",85,"Short"
"Element Freddy",115,"Medium"
"Elephant Trojan",126,"Long"
"Elf Murder",155,"Long"
"Elizabeth Shane",152,"Long"
"Empire Malkovich",177,"Long"
"Encino Elf",143,"Long"
"Encounters Curtain",92,"Medium"
"Ending Crowds",85,"Short"
"Enemy Odds",77,"Short"
"English Bulworth",51,"Short"
"Enough Raging",158,"Long"
"Entrapment Satisfaction",176,"Long"
"Escape Metropolis",167,"Long"
"Eve Resurrection",66,"Short"
"Everyone Craft",163,"Long"
"Evolution Alter",174,"Long"
"Excitement Eve",51,"Short"
"Exorcist Sting",167,"Long"
"Expecations Natural",138,"Long"
"Expendable Stallion",97,"Medium"
"Express Lonely",178,"Long"
"Extraordinary Conquerer",122,"Long"
"Eyes Driving",172,"Long"
"Factory Dragon",144,"Long"
"Falcon Volume",102,"Medium"
"Family Sweet",155,"Long"
"Fantasia Park",131,"Long"
"Fantasy Troopers",58,"Short"
"Fargo Gandhi",130,"Long"
"Fatal Haunted",91,"Medium"
"Feathers Metal",104,"Medium"
"Fellowship Autumn",77,"Short"
"Ferris Mother",142,"Long"
"Feud Frogmen",98,"Medium"
"Fever Empire",158,"Long"
"Fiction Christmas",72,"Short"
"Fiddler Lost",75,"Short"
"Fidelity Devil",118,"Medium"
"Fight Jawbreaker",91,"Medium"
"Finding Anaconda",156,"Long"
"Fire Wolves",173,"Long"
"Fireball Philadelphia",148,"Long"
"Firehouse Vietnam",103,"Medium"
"Fish Opus",125,"Long"
"Flamingos Connecticut",80,"Short"
"Flash Wars",123,"Long"
"Flatliners Killer",100,"Medium"
"Flight Lies",179,"Long"
"Flintstones Happiness",148,"Long"
"Floats Garden",145,"Long"
"Flying Hook",69,"Short"
"Fool Mockingbird",158,"Long"
"Forever Candidate",131,"Long"
"Forrest Sons",63,"Short"
"Forrester Comancheros",112,"Medium"
"Forward Temple",90,"Short"
"Frankenstein Stranger",159,"Long"
"Freaky Pocus",126,"Long"
"Freddy Storm",65,"Short"
"Freedom Cleopatra",133,"Long"
"French Holiday",99,"Medium"
"Frida Slipper",73,"Short"
"Frisco Forrest",51,"Short"
"Frogmen Breaking",111,"Medium"
"Frontier Cabin",183,"Long"
"Frost Head",82,"Short"
"Fugitive Maguire",83,"Short"
"Full Flatliners",94,"Medium"
"Fury Murder",178,"Long"
"Gables Metropolis",161,"Long"
"Galaxy Sweethearts",128,"Long"
"Games Bowfinger",119,"Medium"
"Gandhi Kwai",86,"Short"
"Gangs Pride",185,"Long"
"Garden Island",80,"Short"
"Gaslight Crusade",106,"Medium"
"Gathering Calendar",176,"Long"
"Gentlemen Stage",125,"Long"
"Ghost Groundhog",85,"Short"
"Ghostbusters Elf",101,"Medium"
"Giant Troopers",102,"Medium"
"Gilbert Pelican",114,"Medium"
"Gilmore Boiled",163,"Long"
"Gladiator Westward",173,"Long"
"Glass Dying",103,"Medium"
"Gleaming Jawbreaker",89,"Short"
"Glory Tracy",115,"Medium"
"Go Purple",54,"Short"
"Godfather Diary",73,"Short"
"Gold River",154,"Long"
"Goldfinger Sensibility",93,"Medium"
"Goldmine Tycoon",153,"Long"
"Gone Trouble",84,"Short"
"Goodfellas Salute",56,"Short"
"Gorgeous Bingo",108,"Medium"
"Gosford Donnie",129,"Long"
"Graceland Dynamite",140,"Long"
"Graduate Lord",156,"Long"
"Graffiti Love",117,"Medium"
"Grail Frankenstein",85,"Short"
"Grapes Fury",155,"Long"
"Grease Youth",135,"Long"
"Greatest North",93,"Medium"
"Greedy Roots",166,"Long"
"Greek Everyone",176,"Long"
"Grinch Massage",150,"Long"
"Grit Clockwork",137,"Long"
"Groove Fiction",111,"Medium"
"Groundhog Uncut",139,"Long"
"Gump Date",53,"Short"
"Gun Bonnie",100,"Medium"
"Gunfight Moon",70,"Short"
"Gunfighter Mussolini",127,"Long"
"Guys Falcon",84,"Short"
"Half Outfield",146,"Long"
"Hall Cassidy",51,"Short"
"Halloween Nuts",47,"Short"
"Hamlet Wisdom",146,"Long"
"Identity Lover",119,"Medium"
"Handicap Boondock",108,"Medium"
"Hanging Deep",62,"Short"
"Hanky October",107,"Medium"
"Hanover Galaxy",47,"Short"
"Happiness United",100,"Medium"
"Hardly Robbers",72,"Short"
"Harold French",168,"Long"
"Harper Dying",52,"Short"
"Harry Idaho",121,"Long"
"Hate Handicap",107,"Medium"
"Haunted Antitrust",76,"Short"
"Haunting Pianist",181,"Long"
"Hawk Chill",47,"Short"
"Head Stranger",69,"Short"
"Heartbreakers Bright",59,"Short"
"Heaven Freedom",48,"Short"
"Heavenly Gun",49,"Short"
"Heavyweights Beast",102,"Medium"
"Hedwig Alter",169,"Long"
"Hellfighters Sierra",75,"Short"
"High Encino",84,"Short"
"Highball Potter",110,"Medium"
"Hills Neighbors",93,"Medium"
"Hobbit Alien",157,"Long"
"Hocus Frida",141,"Long"
"Holes Brannigan",128,"Long"
"Holiday Games",78,"Short"
"Hollow Jeopardy",136,"Long"
"Hollywood Anonymous",69,"Short"
"Holocaust Highball",149,"Long"
"Holy Tadpole",88,"Short"
"Home Pity",185,"Long"
"Homeward Cider",103,"Medium"
"Homicide Peach",141,"Long"
"Honey Ties",84,"Short"
"Hook Chariots",49,"Short"
"Idols Snatchers",84,"Short"
"Hoosiers Birdcage",176,"Long"
"Hope Tootsie",139,"Long"
"Horn Working",95,"Medium"
"Horror Reign",139,"Long"
"Hotel Happiness",181,"Long"
"Hours Rage",122,"Long"
"House Dynamite",109,"Medium"
"Human Graffiti",68,"Short"
"Hunchback Impossible",151,"Long"
"Hunger Roof",105,"Medium"
"Hunter Alter",125,"Long"
"Hunting Musketeers",65,"Short"
"Hurricane Affair",49,"Short"
"Hustler Party",83,"Short"
"Hyde Doctor",100,"Medium"
"Hysterical Grail",150,"Long"
"Ice Crossing",131,"Long"
"Idaho Love",172,"Long"
"Igby Maker",160,"Long"
"Illusion Amelie",122,"Long"
"Image Princess",178,"Long"
"Impact Aladdin",180,"Long"
"Impossible Prejudice",103,"Medium"
"Inch Jet",167,"Long"
"Independence Hotel",157,"Long"
"Indian Love",135,"Long"
"Informer Double",74,"Short"
"Innocent Usual",178,"Long"
"Insects Stone",123,"Long"
"Insider Arizona",78,"Short"
"Instinct Airport",116,"Medium"
"Intentions Empire",107,"Medium"
"Interview Liaisons",59,"Short"
"Intolerable Intentions",63,"Short"
"Intrigue Worst",181,"Long"
"Invasion Cyclone",97,"Medium"
"Iron Moon",46,"Short"
"Ishtar Rocketeer",79,"Short"
"Island Exorcist",84,"Short"
"Italian African",174,"Long"
"Jacket Frisco",181,"Long"
"Jade Bunch",174,"Long"
"Japanese Run",135,"Long"
"Jason Trap",130,"Long"
"Jawbreaker Brooklyn",118,"Medium"
"Jaws Harry",112,"Medium"
"Jedi Beneath",128,"Long"
"Jeepers Wedding",84,"Short"
"Jekyll Frogmen",58,"Short"
"Jeopardy Encino",102,"Medium"
"Jericho Mulan",171,"Long"
"Jerk Paycheck",172,"Long"
"Jersey Sassy",60,"Short"
"Jet Neighbors",59,"Short"
"Jingle Sagebrush",124,"Long"
"Joon Northwest",105,"Medium"
"Juggler Hardly",54,"Short"
"Jumanji Blade",121,"Long"
"Jumping Wrath",74,"Short"
"Jungle Closer",134,"Long"
"Kane Exorcist",92,"Medium"
"Karate Moon",120,"Medium"
"Kentuckian Giant",169,"Long"
"Kick Savannah",179,"Long"
"Kill Brotherhood",54,"Short"
"Killer Innocent",161,"Long"
"King Evolution",184,"Long"
"Kiss Glory",163,"Long"
"Kissing Dolls",141,"Long"
"Knock Warlock",71,"Short"
"Kramer Chocolate",171,"Long"
"Kwai Homeward",46,"Short"
"Labyrinth League",46,"Short"
"Rush Goodfellas",48,"Short"
"Lady Stage",67,"Short"
"Ladybugs Armageddon",113,"Medium"
"Lambs Cincinatti",144,"Long"
"Language Cowboy",78,"Short"
"Lawless Vision",181,"Long"
"Lawrence Love",175,"Long"
"League Hellfighters",110,"Medium"
"Leathernecks Dwarfs",153,"Long"
"Lebowski Soldiers",69,"Short"
"Legally Secretary",113,"Medium"
"Legend Jedi",59,"Short"
"Lesson Cleopatra",167,"Long"
"Liaisons Sweet",140,"Long"
"Liberty Magnificent",138,"Long"
"License Weekend",91,"Medium"
"Lies Treatment",147,"Long"
"Life Twisted",137,"Long"
"Lights Deer",174,"Long"
"Mars Roman",62,"Short"
"Lion Uncut",50,"Short"
"Loathing Legally",140,"Long"
"Lock Rear",120,"Medium"
"Lola Agent",85,"Short"
"Lolita World",155,"Long"
"Lonely Elephant",67,"Short"
"Lord Arizona",108,"Medium"
"Lose Inch",137,"Long"
"Loser Hustler",80,"Short"
"Lost Bird",98,"Medium"
"Louisiana Harry",70,"Short"
"Love Suicides",181,"Long"
"Lovely Jingle",65,"Short"
"Lover Truman",75,"Short"
"Loverboy Attacks",162,"Long"
"Luck Opus",152,"Long"
"Lucky Flying",97,"Medium"
"Luke Mummy",74,"Short"
"Mask Peach",123,"Long"
"Lust Lock",52,"Short"
"Madigan Dorado",116,"Medium"
"Madison Trap",147,"Long"
"Madness Attacks",178,"Long"
"Madre Gables",98,"Medium"
"Magic Mallrats",117,"Medium"
"Magnificent Chitty",53,"Short"
"Magnolia Forrester",171,"Long"
"Maguire Apache",74,"Short"
"Maiden Home",138,"Long"
"Majestic Floats",130,"Long"
"Maker Gables",136,"Long"
"Malkovich Pet",159,"Long"
"Mallrats United",133,"Long"
"Maltese Hope",127,"Long"
"Manchurian Curtain",177,"Long"
"Mannequin Worst",71,"Short"
"Married Go",114,"Medium"
"Masked Bubble",151,"Long"
"Massacre Usual",165,"Long"
"Massage Image",161,"Long"
"Matrix Snowman",56,"Short"
"Maude Mod",72,"Short"
"Meet Chocolate",80,"Short"
"Memento Zoolander",77,"Short"
"Menagerie Rushmore",147,"Long"
"Mermaid Insects",104,"Medium"
"Metal Armageddon",161,"Long"
"Metropolis Coma",64,"Short"
"Microcosmos Paradise",105,"Medium"
"Midnight Westward",86,"Short"
"Midsummer Groundhog",48,"Short"
"Mighty Luck",122,"Long"
"Mile Mulan",64,"Short"
"Million Ace",142,"Long"
"Minds Truman",149,"Long"
"Mine Titans",166,"Long"
"Minority Kiss",59,"Short"
"Miracle Virtual",162,"Long"
"Mission Zoolander",164,"Long"
"Mixed Doors",180,"Long"
"Mob Duffel",105,"Medium"
"Mockingbird Hollywood",60,"Short"
"Mod Secretary",77,"Short"
"Model Fish",175,"Long"
"Modern Dorado",74,"Short"
"Money Harold",135,"Long"
"Monsoon Cause",182,"Long"
"Monster Spartacus",107,"Medium"
"Monterey Labyrinth",158,"Long"
"Montezuma Command",126,"Long"
"Moon Bunch",83,"Short"
"Moonshine Cabin",171,"Long"
"Moonwalker Fool",184,"Long"
"Mosquito Armageddon",57,"Short"
"Mother Oleander",103,"Medium"
"Motions Details",166,"Long"
"Moulin Wake",79,"Short"
"Mourning Purple",146,"Long"
"Movie Shakespeare",53,"Short"
"Mulan Moon",160,"Long"
"Mulholland Beast",157,"Long"
"Mummy Creatures",160,"Long"
"Muppet Mile",50,"Short"
"Murder Antitrust",166,"Long"
"Muscle Bright",185,"Long"
"Music Boondock",129,"Long"
"Musketeers Wait",73,"Short"
"Mussolini Spoilers",180,"Long"
"Mystic Truman",92,"Medium"
"Name Detective",178,"Long"
"Nash Chocolat",180,"Long"
"National Story",92,"Medium"
"Natural Stock",50,"Short"
"Necklace Outbreak",132,"Long"
"Neighbors Charade",161,"Long"
"Nemo Campus",131,"Long"
"Network Peak",75,"Short"
"Newsies Story",159,"Long"
"Newton Labyrinth",75,"Short"
"Nightmare Chill",149,"Long"
"None Spiking",83,"Short"
"Noon Papi",57,"Short"
"North Tequila",67,"Short"
"Northwest Polish",172,"Long"
"Notorious Reunion",128,"Long"
"Notting Speakeasy",48,"Short"
"Novocaine Flight",64,"Short"
"Nuts Ties",145,"Long"
"October Submarine",54,"Short"
"Odds Boogie",48,"Short"
"Oklahoma Jumanji",58,"Short"
"Oleander Clue",161,"Long"
"Open African",131,"Long"
"Operation Operation",156,"Long"
"Opposite Necklace",92,"Medium"
"Opus Ice",102,"Medium"
"Orange Grapes",76,"Short"
"Order Betrayed",120,"Medium"
"Orient Closer",118,"Medium"
"Oscar Gold",115,"Medium"
"Others Soup",118,"Medium"
"Outbreak Divine",169,"Long"
"Outfield Massacre",129,"Long"
"Outlaw Hanky",148,"Long"
"Oz Liaisons",85,"Short"
"Pacific Amistad",144,"Long"
"Packer Madigan",84,"Short"
"Pajama Jawbreaker",126,"Long"
"Panic Club",102,"Medium"
"Panky Submarine",93,"Medium"
"Panther Reds",109,"Medium"
"Papi Necklace",128,"Long"
"Paradise Sabrina",48,"Short"
"Paris Weekend",121,"Long"
"Park Citizen",109,"Medium"
"Party Knock",107,"Medium"
"Past Suicides",157,"Long"
"Paths Control",118,"Medium"
"Patient Sister",99,"Medium"
"Patriot Roman",65,"Short"
"Patton Interview",175,"Long"
"Paycheck Wait",145,"Long"
"Peach Innocent",160,"Long"
"Peak Forever",80,"Short"
"Pearl Destiny",74,"Short"
"Pelican Comforts",48,"Short"
"Perdition Fargo",99,"Medium"
"Perfect Groove",82,"Short"
"Personal Ladybugs",118,"Medium"
"Pet Haunting",99,"Medium"
"Phantom Glory",60,"Short"
"Philadelphia Wife",137,"Long"
"Pianist Outfield",136,"Long"
"Pickup Driving",77,"Short"
"Pilot Hoosiers",50,"Short"
"Pinocchio Simon",103,"Medium"
"Pirates Roxanne",100,"Medium"
"Pittsburgh Hunchback",134,"Long"
"Pity Bound",60,"Short"
"Pizza Jumanji",173,"Long"
"Platoon Instinct",132,"Long"
"Pluto Oleander",84,"Short"
"Pocus Pulp",138,"Long"
"Polish Brooklyn",61,"Short"
"Pollock Deliverance",137,"Long"
"Pond Seattle",185,"Long"
"Poseidon Forever",159,"Long"
"Potluck Mixed",179,"Long"
"Potter Connecticut",115,"Medium"
"Prejudice Oleander",98,"Medium"
"President Bang",144,"Long"
"Pride Alamo",114,"Medium"
"Primary Glass",53,"Short"
"Princess Giant",71,"Short"
"Private Drop",106,"Medium"
"Prix Undefeated",115,"Medium"
"Psycho Shrunk",155,"Long"
"Pulp Beverly",89,"Short"
"Punk Divorce",100,"Medium"
"Pure Runner",121,"Long"
"Purple Movie",88,"Short"
"Queen Luke",163,"Long"
"Quest Mussolini",177,"Long"
"Quills Bull",112,"Medium"
"Racer Egg",147,"Long"
"Rage Games",120,"Medium"
"Raging Airplane",154,"Long"
"Raiders Antitrust",82,"Short"
"Rainbow Shock",74,"Short"
"Random Go",73,"Short"
"Range Moonwalker",147,"Long"
"Reap Unfaithful",136,"Long"
"Rear Trading",97,"Medium"
"Rebel Airport",73,"Short"
"Records Zorro",182,"Long"
"Redemption Comforts",179,"Long"
"Reds Pocus",182,"Long"
"Reef Salute",123,"Long"
"Reign Gentlemen",82,"Short"
"Remember Diary",110,"Medium"
"Requiem Tycoon",167,"Long"
"Reservoir Adaptation",61,"Short"
"Resurrection Silverado",117,"Medium"
"Reunion Witches",63,"Short"
"Rider Caddyshack",177,"Long"
"Ridgemont Submarine",46,"Short"
"Right Cranes",153,"Long"
"Rings Heartbreakers",58,"Short"
"River Outlaw",149,"Long"
"Road Roxanne",158,"Long"
"Robbers Joon",102,"Medium"
"Robbery Bright",134,"Long"
"Rock Instinct",102,"Medium"
"Rocketeer Mother",178,"Long"
"Rocky War",145,"Long"
"Rollercoaster Bringing",153,"Long"
"Roman Punk",81,"Short"
"Roof Champion",101,"Medium"
"Room Roman",60,"Short"
"Roots Remember",89,"Short"
"Roses Treasure",162,"Long"
"Rouge Squad",118,"Medium"
"Roxanne Rebel",171,"Long"
"Rugrats Shakespeare",109,"Medium"
"Rules Human",153,"Long"
"Run Pacific",145,"Long"
"Runaway Tenenbaums",181,"Long"
"Runner Madigan",101,"Medium"
"Rushmore Mermaid",150,"Long"
"Sabrina Midnight",99,"Medium"
"Saddle Antitrust",80,"Short"
"Sagebrush Clueless",106,"Medium"
"Saints Bride",125,"Long"
"Salute Apollo",73,"Short"
"Samurai Lion",110,"Medium"
"Santa Paris",154,"Long"
"Sassy Packer",154,"Long"
"Satisfaction Confidential",75,"Short"
"Saturday Lambs",150,"Long"
"Saturn Name",182,"Long"
"Savannah Town",84,"Short"
"Scalawag Duck",183,"Long"
"Scarface Bang",102,"Medium"
"School Jacket",151,"Long"
"Scissorhands Slums",147,"Long"
"Ship Wonderland",104,"Medium"
"Scorpion Apollo",137,"Long"
"Sea Virgin",80,"Short"
"Seabiscuit Punk",112,"Medium"
"Searchers Wait",182,"Long"
"Seattle Expecations",110,"Medium"
"Secret Groundhog",90,"Short"
"Secretary Rouge",158,"Long"
"Secrets Paradise",109,"Medium"
"Sense Greek",54,"Short"
"Sensibility Rear",98,"Medium"
"Seven Swarm",127,"Long"
"Shakespeare Saddle",60,"Short"
"Shane Darkness",93,"Medium"
"Shanghai Tycoon",47,"Short"
"Shawshank Bubble",80,"Short"
"Shepherd Midsummer",113,"Medium"
"Shining Roses",125,"Long"
"Shock Cabin",79,"Short"
"Shootist Superfly",67,"Short"
"Show Lord",167,"Long"
"Shrek License",154,"Long"
"Shrunk Divine",139,"Long"
"Side Ark",52,"Short"
"Siege Madre",111,"Medium"
"Sierra Divide",135,"Long"
"Silence Kane",67,"Short"
"Silverado Goldfinger",74,"Short"
"Simon North",51,"Short"
"Sinners Atlantis",126,"Long"
"Sister Freddy",152,"Long"
"Sky Miracle",132,"Long"
"Slacker Liaisons",179,"Long"
"Sleeping Suspects",129,"Long"
"Sleepless Monsoon",64,"Short"
"Sleepy Japanese",137,"Long"
"Sleuth Orient",87,"Short"
"Sling Luke",84,"Short"
"Slipper Fidelity",156,"Long"
"Slums Duck",147,"Long"
"Smile Earring",60,"Short"
"Smoking Barbarella",50,"Short"
"Smoochy Control",184,"Long"
"Snatch Slipper",110,"Medium"
"Snatchers Montezuma",74,"Short"
"Snowman Rollercoaster",62,"Short"
"Soldiers Evolution",185,"Long"
"Something Duck",180,"Long"
"Song Hedwig",165,"Long"
"Sons Interview",184,"Long"
"Sorority Queen",184,"Long"
"Soup Wisdom",169,"Long"
"South Wait",143,"Long"
"Spartacus Cheaper",52,"Short"
"Speakeasy Date",165,"Long"
"Speed Suit",124,"Long"
"Spice Sorority",141,"Long"
"Spiking Element",79,"Short"
"Spinal Rocky",138,"Long"
"Spirit Flintstones",149,"Long"
"Spirited Casualties",138,"Long"
"Splash Gump",175,"Long"
"Splendor Patton",134,"Long"
